Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
04.04.2024 15:00;04.04.2024 16:00;56.634,25;18.841,50
04.04.2024 16:00;04.04.2024 17:00;55.677,25;17.977,50
04.04.2024 17:00;04.04.2024 18:00;56.934,75;20.345,75
04.04.2024 18:00;04.04.2024 19:00;59.171,00;25.975,75
04.04.2024 19:00;04.04.2024 20:00;59.747,25;30.025,50
04.04.2024 20:00;04.04.2024 21:00;57.286,00;28.939,00
04.04.2024 21:00;04.04.2024 22:00;54.073,50;26.457,00
04.04.2024 22:00;04.04.2024 23:00;50.655,50;23.680,50
04.04.2024 23:00;05.04.2024 00:00;47.224,25;20.872,50
05.04.2024 00:00;05.04.2024 01:00;46.018,00;19.199,25
05.04.2024 01:00;05.04.2024 02:00;44.322,00;18.921,25
05.04.2024 02:00;05.04.2024 03:00;43.342,25;19.005,50
05.04.2024 03:00;05.04.2024 04:00;43.700,50;20.401,00
05.04.2024 04:00;05.04.2024 05:00;45.384,25;22.834,25
05.04.2024 05:00;05.04.2024 06:00;48.869,50;26.734,75
05.04.2024 06:00;05.04.2024 07:00;54.865,00;32.797,50
05.04.2024 07:00;05.04.2024 08:00;59.233,50;35.838,00
05.04.2024 08:00;05.04.2024 09:00;61.858,25;34.146,00
05.04.2024 09:00;05.04.2024 10:00;62.937,00;28.183,75
05.04.2024 10:00;05.04.2024 11:00;63.811,50;21.571,00
05.04.2024 11:00;05.04.2024 12:00;64.109,25;15.291,50
05.04.2024 12:00;05.04.2024 13:00;63.391,00;9.331,00
05.04.2024 13:00;05.04.2024 14:00;61.662,75;4.688,75
05.04.2024 14:00;05.04.2024 15:00;59.993,50;2.333,25
05.04.2024 15:00;05.04.2024 16:00;59.191,00;3.323,25
05.04.2024 16:00;05.04.2024 17:00;58.849,50;6.905,75
05.04.2024 17:00;05.04.2024 18:00;58.772,00;11.595,50
05.04.2024 18:00;05.04.2024 19:00;58.939,75;16.649,25
05.04.2024 19:00;05.04.2024 20:00;58.400,25;20.007,25
05.04.2024 20:00;05.04.2024 21:00;56.277,25;19.938,50
05.04.2024 21:00;05.04.2024 22:00;53.279,50;18.641,75
05.04.2024 22:00;05.04.2024 23:00;50.111,25;17.565,50
05.04.2024 23:00;06.04.2024 00:00;47.106,25;16.293,25
06.04.2024 00:00;06.04.2024 01:00;41.314,75;11.497,00
06.04.2024 01:00;06.04.2024 02:00;39.970,50;12.266,25
06.04.2024 02:00;06.04.2024 03:00;39.083,50;12.872,25
06.04.2024 03:00;06.04.2024 04:00;39.312,00;14.752,00
06.04.2024 04:00;06.04.2024 05:00;39.780,75;17.134,75
06.04.2024 05:00;06.04.2024 06:00;40.586,00;20.134,50
06.04.2024 06:00;06.04.2024 07:00;42.208,25;23.712,50
06.04.2024 07:00;06.04.2024 08:00;44.359,25;25.132,00
06.04.2024 08:00;06.04.2024 09:00;47.500,00;22.632,00
06.04.2024 09:00;06.04.2024 10:00;49.777,00;17.493,25
06.04.2024 10:00;06.04.2024 11:00;51.068,00;11.898,50
06.04.2024 11:00;06.04.2024 12:00;51.442,50;6.690,75
06.04.2024 12:00;06.04.2024 13:00;51.343,00;2.564,75
06.04.2024 13:00;06.04.2024 14:00;50.099,50;-482,50
06.04.2024 14:00;06.04.2024 15:00;48.598,50;-1.980,75
06.04.2024 15:00;06.04.2024 16:00;48.259,00;-112,50
06.04.2024 16:00;06.04.2024 17:00;48.754,50;4.569,75
06.04.2024 17:00;06.04.2024 18:00;49.760,50;12.548,75
06.04.2024 18:00;06.04.2024 19:00;51.056,75;21.973,75
06.04.2024 19:00;06.04.2024 20:00;50.778,25;24.417,00
06.04.2024 20:00;06.04.2024 21:00;49.169,50;20.818,25
06.04.2024 21:00;06.04.2024 22:00;47.015,75;16.801,75
06.04.2024 22:00;06.04.2024 23:00;45.105,25;14.293,25
06.04.2024 23:00;07.04.2024 00:00;42.112,50;11.187,50
07.04.2024 00:00;07.04.2024 01:00;39.328,00;9.933,25
07.04.2024 01:00;07.04.2024 02:00;37.578,00;8.172,50
07.04.2024 02:00;07.04.2024 03:00;36.788,25;7.081,50
07.04.2024 03:00;07.04.2024 04:00;36.352,75;5.898,50
07.04.2024 04:00;07.04.2024 05:00;36.186,00;4.590,25
07.04.2024 05:00;07.04.2024 06:00;36.666,25;4.280,50
07.04.2024 06:00;07.04.2024 07:00;37.107,75;5.012,00
07.04.2024 07:00;07.04.2024 08:00;38.814,50;6.736,00
07.04.2024 08:00;07.04.2024 09:00;42.299,50;7.184,00
07.04.2024 09:00;07.04.2024 10:00;46.158,75;7.186,00
07.04.2024 10:00;07.04.2024 11:00;48.210,50;4.612,50
07.04.2024 11:00;07.04.2024 12:00;49.902,50;1.765,00
07.04.2024 12:00;07.04.2024 13:00;48.921,00;-1.102,25
07.04.2024 13:00;07.04.2024 14:00;46.188,25;-2.692,25
07.04.2024 14:00;07.04.2024 15:00;45.029,25;-995,50
07.04.2024 15:00;07.04.2024 16:00;44.765,50;2.986,75
07.04.2024 16:00;07.04.2024 17:00;44.800,00;10.536,00
07.04.2024 17:00;07.04.2024 18:00;46.073,00;21.506,50
07.04.2024 18:00;07.04.2024 19:00;47.240,00;32.187,75
07.04.2024 19:00;07.04.2024 20:00;48.066,00;37.484,25
07.04.2024 20:00;07.04.2024 21:00;47.897,75;37.194,00
07.04.2024 21:00;07.04.2024 22:00;46.731,00;34.685,75
07.04.2024 22:00;07.04.2024 23:00;45.389,50;32.180,75
07.04.2024 23:00;08.04.2024 00:00;43.078,00;29.307,75
08.04.2024 00:00;08.04.2024 01:00;42.723,00;30.757,50
08.04.2024 01:00;08.04.2024 02:00;41.345,00;29.816,50
08.04.2024 02:00;08.04.2024 03:00;40.684,25;29.881,50
08.04.2024 03:00;08.04.2024 04:00;41.229,75;31.261,75
08.04.2024 04:00;08.04.2024 05:00;42.923,00;33.593,50
08.04.2024 05:00;08.04.2024 06:00;46.149,00;37.567,25
08.04.2024 06:00;08.04.2024 07:00;52.858,75;45.387,25
08.04.2024 07:00;08.04.2024 08:00;57.754,00;49.522,50
08.04.2024 08:00;08.04.2024 09:00;60.656,25;47.868,00
08.04.2024 09:00;08.04.2024 10:00;61.223,00;41.763,75
08.04.2024 10:00;08.04.2024 11:00;61.650,00;35.510,75
08.04.2024 11:00;08.04.2024 12:00;62.031,00;30.985,50
08.04.2024 12:00;08.04.2024 13:00;61.267,25;28.120,00
08.04.2024 13:00;08.04.2024 14:00;59.481,75;26.421,50
08.04.2024 14:00;08.04.2024 15:00;57.926,00;26.141,50
08.04.2024 15:00;08.04.2024 16:00;56.968,50;27.746,75
08.04.2024 16:00;08.04.2024 17:00;56.380,25;31.035,75
08.04.2024 17:00;08.04.2024 18:00;57.649,00;38.152,25
08.04.2024 18:00;08.04.2024 19:00;59.599,75;45.824,75
08.04.2024 19:00;08.04.2024 20:00;59.851,25;47.889,00
08.04.2024 20:00;08.04.2024 21:00;57.605,25;43.810,00
08.04.2024 21:00;08.04.2024 22:00;54.531,00;38.849,00
08.04.2024 22:00;08.04.2024 23:00;50.850,75;34.178,75
08.04.2024 23:00;09.04.2024 00:00;47.251,25;30.562,75
09.04.2024 00:00;09.04.2024 01:00;45.097,00;31.662,25
09.04.2024 01:00;09.04.2024 02:00;43.467,75;29.127,00
09.04.2024 02:00;09.04.2024 03:00;42.838,50;27.544,75
09.04.2024 03:00;09.04.2024 04:00;43.297,75;27.267,00
09.04.2024 04:00;09.04.2024 05:00;44.315,25;27.682,00
09.04.2024 05:00;09.04.2024 06:00;47.186,25;29.925,75
09.04.2024 06:00;09.04.2024 07:00;53.758,50;35.130,75
09.04.2024 07:00;09.04.2024 08:00;58.524,75;35.938,25
09.04.2024 08:00;09.04.2024 09:00;61.264,50;32.205,25
09.04.2024 09:00;09.04.2024 10:00;62.137,25;26.273,75
09.04.2024 10:00;09.04.2024 11:00;63.034,50;20.804,25
09.04.2024 11:00;09.04.2024 12:00;63.724,00;16.535,00
09.04.2024 12:00;09.04.2024 13:00;63.299,50;13.615,50
09.04.2024 13:00;09.04.2024 14:00;61.484,25;10.824,25
09.04.2024 14:00;09.04.2024 15:00;59.376,50;9.324,75
09.04.2024 15:00;09.04.2024 16:00;57.939,00;9.811,25
09.04.2024 16:00;09.04.2024 17:00;56.834,75;11.461,25
09.04.2024 17:00;09.04.2024 18:00;57.795,75;16.242,50
09.04.2024 18:00;09.04.2024 19:00;59.880,50;22.941,75
09.04.2024 19:00;09.04.2024 20:00;60.247,00;26.787,25
09.04.2024 20:00;09.04.2024 21:00;57.986,00;25.676,50
09.04.2024 21:00;09.04.2024 22:00;55.027,25;22.914,50
09.04.2024 22:00;09.04.2024 23:00;51.513,00;19.805,00
09.04.2024 23:00;10.04.2024 00:00;47.977,75;16.277,25
10.04.2024 00:00;10.04.2024 01:00;44.579,50;12.559,75
10.04.2024 01:00;10.04.2024 02:00;42.818,50;11.072,25
10.04.2024 02:00;10.04.2024 03:00;42.404,50;11.026,00
10.04.2024 03:00;10.04.2024 04:00;42.912,00;12.509,00
10.04.2024 04:00;10.04.2024 05:00;44.656,25;15.509,00
10.04.2024 05:00;10.04.2024 06:00;47.721,50;19.589,75
10.04.2024 06:00;10.04.2024 07:00;53.944,00;26.465,25
10.04.2024 07:00;10.04.2024 08:00;58.394,00;31.786,50
10.04.2024 08:00;10.04.2024 09:00;60.945,75;32.373,00
10.04.2024 09:00;10.04.2024 10:00;62.017,50;29.546,25
10.04.2024 10:00;10.04.2024 11:00;63.106,75;27.102,25
10.04.2024 11:00;10.04.2024 12:00;63.487,75;24.839,00
10.04.2024 12:00;10.04.2024 13:00;62.512,00;22.411,00
10.04.2024 13:00;10.04.2024 14:00;60.814,25;20.575,25
10.04.2024 14:00;10.04.2024 15:00;59.041,50;19.570,25
10.04.2024 15:00;10.04.2024 16:00;57.666,75;21.229,25
10.04.2024 16:00;10.04.2024 17:00;56.401,50;25.254,00
10.04.2024 17:00;10.04.2024 18:00;57.250,75;33.271,00
10.04.2024 18:00;10.04.2024 19:00;59.101,25;43.424,50
10.04.2024 19:00;10.04.2024 20:00;59.582,00;49.906,50
10.04.2024 20:00;10.04.2024 21:00;57.569,50;49.010,00
10.04.2024 21:00;10.04.2024 22:00;54.729,25;45.095,75
10.04.2024 22:00;10.04.2024 23:00;51.214,50;39.646,25
10.04.2024 23:00;11.04.2024 00:00;47.474,50;33.641,50
11.04.2024 00:00;11.04.2024 01:00;45.557,00;30.001,25
11.04.2024 01:00;11.04.2024 02:00;44.262,25;26.292,00
11.04.2024 02:00;11.04.2024 03:00;44.172,25;24.044,00
11.04.2024 03:00;11.04.2024 04:00;44.705,50;22.912,00
11.04.2024 04:00;11.04.2024 05:00;45.820,00;22.711,00
11.04.2024 05:00;11.04.2024 06:00;48.246,50;23.896,75
11.04.2024 06:00;11.04.2024 07:00;54.679,50;28.713,75
11.04.2024 07:00;11.04.2024 08:00;58.945,00;29.259,00
11.04.2024 08:00;11.04.2024 09:00;61.240,25;24.367,50
11.04.2024 09:00;11.04.2024 10:00;62.303,00;18.263,50
11.04.2024 10:00;11.04.2024 11:00;63.456,00;14.259,25
11.04.2024 11:00;11.04.2024 12:00;64.067,25;11.636,75
11.04.2024 12:00;11.04.2024 13:00;64.065,00;11.287,50
11.04.2024 13:00;11.04.2024 14:00;62.784,25;11.776,75
11.04.2024 14:00;11.04.2024 15:00;60.889,25;13.379,00
11.04.2024 15:00;11.04.2024 16:00;59.731,00;17.850,25
11.04.2024 16:00;11.04.2024 17:00;58.840,25;24.170,25
11.04.2024 17:00;11.04.2024 18:00;59.618,75;33.375,00
11.04.2024 18:00;11.04.2024 19:00;60.437,25;42.478,75
11.04.2024 19:00;11.04.2024 20:00;60.275,25;47.505,50
11.04.2024 20:00;11.04.2024 21:00;58.541,25;47.145,75
11.04.2024 21:00;11.04.2024 22:00;55.893,50;44.518,25
11.04.2024 22:00;11.04.2024 23:00;52.371,50;40.763,75
11.04.2024 23:00;12.04.2024 00:00;48.578,25;36.765,50
12.04.2024 00:00;12.04.2024 01:00;47.079,50;35.443,25
12.04.2024 01:00;12.04.2024 02:00;46.260,00;34.096,00
12.04.2024 02:00;12.04.2024 03:00;45.142,25;32.427,25
12.04.2024 03:00;12.04.2024 04:00;45.240,75;32.100,00
12.04.2024 04:00;12.04.2024 05:00;46.256,25;32.718,00
12.04.2024 05:00;12.04.2024 06:00;48.458,25;34.420,75
12.04.2024 06:00;12.04.2024 07:00;54.482,00;39.586,00
12.04.2024 07:00;12.04.2024 08:00;58.880,75;40.471,50
12.04.2024 08:00;12.04.2024 09:00;61.944,75;36.625,25
12.04.2024 09:00;12.04.2024 10:00;62.994,75;29.363,50
12.04.2024 10:00;12.04.2024 11:00;63.076,50;21.671,50
12.04.2024 11:00;12.04.2024 12:00;63.135,25;15.629,00
12.04.2024 12:00;12.04.2024 13:00;62.382,75;11.327,25
12.04.2024 13:00;12.04.2024 14:00;60.894,25;8.738,50
12.04.2024 14:00;12.04.2024 15:00;59.760,25;8.413,50
12.04.2024 15:00;12.04.2024 16:00;59.009,75;11.105,50
12.04.2024 16:00;12.04.2024 17:00;57.900,75;15.950,75
12.04.2024 17:00;12.04.2024 18:00;58.876,50;25.754,50
12.04.2024 18:00;12.04.2024 19:00;59.558,25;36.557,50
12.04.2024 19:00;12.04.2024 20:00;59.206,75;42.845,75
12.04.2024 20:00;12.04.2024 21:00;57.277,75;42.519,00
12.04.2024 21:00;12.04.2024 22:00;54.581,75;39.437,25
12.04.2024 22:00;12.04.2024 23:00;51.454,00;35.489,00
12.04.2024 23:00;13.04.2024 00:00;47.971,50;31.113,75
13.04.2024 00:00;13.04.2024 01:00;43.620,00;25.990,50
13.04.2024 01:00;13.04.2024 02:00;41.448,00;22.921,00
13.04.2024 02:00;13.04.2024 03:00;40.529,50;21.037,75
13.04.2024 03:00;13.04.2024 04:00;40.510,75;20.578,00
13.04.2024 04:00;13.04.2024 05:00;40.606,75;20.557,75
13.04.2024 05:00;13.04.2024 06:00;41.129,75;21.137,00
13.04.2024 06:00;13.04.2024 07:00;42.011,50;21.972,75
13.04.2024 07:00;13.04.2024 08:00;44.368,00;21.757,00
13.04.2024 08:00;13.04.2024 09:00;47.754,00;18.620,50
13.04.2024 09:00;13.04.2024 10:00;50.589,75;13.365,00
13.04.2024 10:00;13.04.2024 11:00;51.966,50;6.872,00
13.04.2024 11:00;13.04.2024 12:00;52.361,25;1.455,50
13.04.2024 12:00;13.04.2024 13:00;51.841,25;-2.419,25
13.04.2024 13:00;13.04.2024 14:00;49.855,00;-5.256,00
13.04.2024 14:00;13.04.2024 15:00;48.107,75;-5.722,50
13.04.2024 15:00;13.04.2024 16:00;46.965,75;-2.858,25
13.04.2024 16:00;13.04.2024 17:00;47.209,50;3.239,75
13.04.2024 17:00;13.04.2024 18:00;47.816,50;13.351,50
13.04.2024 18:00;13.04.2024 19:00;49.129,25;24.041,00
13.04.2024 19:00;13.04.2024 20:00;49.669,75;29.603,50
13.04.2024 20:00;13.04.2024 21:00;48.798,25;27.599,25
13.04.2024 21:00;13.04.2024 22:00;47.037,25;22.692,00
13.04.2024 22:00;13.04.2024 23:00;45.530,25;18.004,25
13.04.2024 23:00;14.04.2024 00:00;42.757,75;12.799,50
14.04.2024 00:00;14.04.2024 01:00;39.807,75;7.597,25
14.04.2024 01:00;14.04.2024 02:00;38.410,25;5.822,75
14.04.2024 02:00;14.04.2024 03:00;37.419,00;5.026,75
14.04.2024 03:00;14.04.2024 04:00;37.194,50;5.611,00
14.04.2024 04:00;14.04.2024 05:00;37.374,50;7.133,50
14.04.2024 05:00;14.04.2024 06:00;37.733,50;9.154,50
14.04.2024 06:00;14.04.2024 07:00;38.067,50;10.904,50
14.04.2024 07:00;14.04.2024 08:00;39.838,75;11.509,25
14.04.2024 08:00;14.04.2024 09:00;42.966,00;8.848,00
14.04.2024 09:00;14.04.2024 10:00;46.303,00;4.432,25
14.04.2024 10:00;14.04.2024 11:00;48.028,50;-916,75
14.04.2024 11:00;14.04.2024 12:00;49.269,50;-5.527,75
14.04.2024 12:00;14.04.2024 13:00;48.332,00;-9.143,75
14.04.2024 13:00;14.04.2024 14:00;46.001,00;-12.003,75
14.04.2024 14:00;14.04.2024 15:00;43.975,25;-12.366,00
14.04.2024 15:00;14.04.2024 16:00;43.323,00;-9.310,75
14.04.2024 16:00;14.04.2024 17:00;43.871,50;-2.704,25
14.04.2024 17:00;14.04.2024 18:00;45.615,50;8.071,50
14.04.2024 18:00;14.04.2024 19:00;47.253,25;21.005,00
14.04.2024 19:00;14.04.2024 20:00;48.037,25;30.810,75
14.04.2024 20:00;14.04.2024 21:00;47.549,00;35.261,50
14.04.2024 21:00;14.04.2024 22:00;46.497,50;36.901,50
14.04.2024 22:00;14.04.2024 23:00;45.366,00;37.600,25
14.04.2024 23:00;15.04.2024 00:00;42.700,00;36.061,75
15.04.2024 00:00;15.04.2024 01:00;41.566,00;35.484,25
15.04.2024 01:00;15.04.2024 02:00;40.462,50;34.533,25
15.04.2024 02:00;15.04.2024 03:00;40.267,50;34.114,00
15.04.2024 03:00;15.04.2024 04:00;40.877,75;34.178,25
15.04.2024 04:00;15.04.2024 05:00;42.741,00;35.204,25
15.04.2024 05:00;15.04.2024 06:00;46.199,25;37.722,50
15.04.2024 06:00;15.04.2024 07:00;53.321,00;43.538,25
15.04.2024 07:00;15.04.2024 08:00;58.035,00;45.039,75
15.04.2024 08:00;15.04.2024 09:00;60.948,75;42.707,75
15.04.2024 09:00;15.04.2024 10:00;62.094,50;37.351,75
15.04.2024 10:00;15.04.2024 11:00;62.413,00;30.370,00
15.04.2024 11:00;15.04.2024 12:00;62.845,75;24.048,25
15.04.2024 12:00;15.04.2024 13:00;62.695,25;18.065,00
15.04.2024 13:00;15.04.2024 14:00;61.528,25;12.060,75
15.04.2024 14:00;15.04.2024 15:00;59.686,25;7.264,00
15.04.2024 15:00;15.04.2024 16:00;58.327,25;5.800,75
15.04.2024 16:00;15.04.2024 17:00;57.398,50;7.560,25
15.04.2024 17:00;15.04.2024 18:00;58.679,25;13.758,50
15.04.2024 18:00;15.04.2024 19:00;59.911,25;20.545,50
15.04.2024 19:00;15.04.2024 20:00;60.111,50;23.853,00
15.04.2024 20:00;15.04.2024 21:00;58.131,50;21.858,50
15.04.2024 21:00;15.04.2024 22:00;55.289,00;17.065,50
15.04.2024 22:00;15.04.2024 23:00;52.267,50;13.276,00
15.04.2024 23:00;16.04.2024 00:00;49.086,75;9.661,50
16.04.2024 00:00;16.04.2024 01:00;45.849,00;7.080,25
16.04.2024 01:00;16.04.2024 02:00;44.224,75;5.301,50
16.04.2024 02:00;16.04.2024 03:00;43.608,50;5.343,25
16.04.2024 03:00;16.04.2024 04:00;43.959,50;6.793,25
16.04.2024 04:00;16.04.2024 05:00;45.602,25;9.596,50
16.04.2024 05:00;16.04.2024 06:00;49.101,25;14.230,00
16.04.2024 06:00;16.04.2024 07:00;55.462,00;21.197,00
16.04.2024 07:00;16.04.2024 08:00;59.980,00;24.368,25
16.04.2024 08:00;16.04.2024 09:00;62.774,50;22.347,00
16.04.2024 09:00;16.04.2024 10:00;64.468,75;18.858,50
16.04.2024 10:00;16.04.2024 11:00;65.178,25;16.507,50
16.04.2024 11:00;16.04.2024 12:00;65.585,75;15.760,75
16.04.2024 12:00;16.04.2024 13:00;65.251,50;16.465,75
16.04.2024 13:00;16.04.2024 14:00;63.823,00;16.911,00
16.04.2024 14:00;16.04.2024 15:00;61.644,00;16.853,00
16.04.2024 15:00;16.04.2024 16:00;60.021,50;19.146,25
16.04.2024 16:00;16.04.2024 17:00;58.898,25;23.047,75
16.04.2024 17:00;16.04.2024 18:00;60.184,75;30.093,00
16.04.2024 18:00;16.04.2024 19:00;61.220,00;37.835,00
16.04.2024 19:00;16.04.2024 20:00;61.028,00;43.061,75
16.04.2024 20:00;16.04.2024 21:00;59.186,50;43.733,50
16.04.2024 21:00;16.04.2024 22:00;56.631,25;42.280,00
16.04.2024 22:00;16.04.2024 23:00;53.325,75;40.014,25
16.04.2024 23:00;17.04.2024 00:00;50.003,00;37.602,75
17.04.2024 00:00;17.04.2024 01:00;45.271,00;33.259,25
17.04.2024 01:00;17.04.2024 02:00;43.657,00;32.371,00
17.04.2024 02:00;17.04.2024 03:00;43.297,25;32.686,25
17.04.2024 03:00;17.04.2024 04:00;43.533,75;33.592,00
17.04.2024 04:00;17.04.2024 05:00;45.239,75;35.902,75
17.04.2024 05:00;17.04.2024 06:00;49.197,50;40.407,00
17.04.2024 06:00;17.04.2024 07:00;55.769,50;47.435,75
17.04.2024 07:00;17.04.2024 08:00;60.254,50;50.653,75
17.04.2024 08:00;17.04.2024 09:00;62.645,50;49.944,25
17.04.2024 09:00;17.04.2024 10:00;63.779,75;47.377,00
17.04.2024 10:00;17.04.2024 11:00;64.383,50;44.523,75
17.04.2024 11:00;17.04.2024 12:00;64.509,50;42.146,25
17.04.2024 12:00;17.04.2024 13:00;64.363,25;40.212,25
17.04.2024 13:00;17.04.2024 14:00;63.110,00;38.195,75
17.04.2024 14:00;17.04.2024 15:00;61.246,50;36.420,00
17.04.2024 15:00;17.04.2024 16:00;59.655,50;36.149,50
17.04.2024 16:00;17.04.2024 17:00;58.506,75;37.847,25
17.04.2024 17:00;17.04.2024 18:00;59.745,00;43.356,50
17.04.2024 18:00;17.04.2024 19:00;60.641,25;49.682,75
17.04.2024 19:00;17.04.2024 20:00;60.597,25;53.677,25
17.04.2024 20:00;17.04.2024 21:00;58.894,00;53.207,50
17.04.2024 21:00;17.04.2024 22:00;56.428,50;50.692,00
17.04.2024 22:00;17.04.2024 23:00;52.981,25;47.322,75
17.04.2024 23:00;18.04.2024 00:00;49.553,50;44.136,25
18.04.2024 00:00;18.04.2024 01:00;47.310,00;42.883,75
18.04.2024 01:00;18.04.2024 02:00;45.987,25;41.812,50
18.04.2024 02:00;18.04.2024 03:00;45.943,00;41.932,25
18.04.2024 03:00;18.04.2024 04:00;46.441,75;42.505,75
18.04.2024 04:00;18.04.2024 05:00;47.271,50;43.279,75
18.04.2024 05:00;18.04.2024 06:00;48.383,25;44.321,75
18.04.2024 06:00;18.04.2024 07:00;55.017,75;50.564,25
18.04.2024 07:00;18.04.2024 08:00;59.683,00;52.419,00
18.04.2024 08:00;18.04.2024 09:00;62.131,00;49.540,25
18.04.2024 09:00;18.04.2024 10:00;62.917,50;44.009,75
18.04.2024 10:00;18.04.2024 11:00;63.734,75;39.034,25
18.04.2024 11:00;18.04.2024 12:00;63.952,00;35.107,25
18.04.2024 12:00;18.04.2024 13:00;63.417,00;32.027,50
18.04.2024 13:00;18.04.2024 14:00;62.237,25;29.815,50
18.04.2024 14:00;18.04.2024 15:00;60.411,00;27.589,75
18.04.2024 15:00;18.04.2024 16:00;59.040,00;26.984,25
18.04.2024 16:00;18.04.2024 17:00;57.930,00;27.968,50
18.04.2024 17:00;18.04.2024 18:00;58.647,00;32.867,75
18.04.2024 18:00;18.04.2024 19:00;59.329,25;39.894,50
18.04.2024 19:00;18.04.2024 20:00;59.809,00;46.192,50
18.04.2024 20:00;18.04.2024 21:00;58.621,75;46.928,50
18.04.2024 21:00;18.04.2024 22:00;56.554,50;44.569,75
18.04.2024 22:00;18.04.2024 23:00;53.287,75;40.538,25
18.04.2024 23:00;19.04.2024 00:00;49.546,00;35.760,75
19.04.2024 00:00;19.04.2024 01:00;46.708,00;29.468,50
19.04.2024 01:00;19.04.2024 02:00;45.233,25;25.819,75
19.04.2024 02:00;19.04.2024 03:00;44.204,00;22.039,50
19.04.2024 03:00;19.04.2024 04:00;44.689,00;19.539,75
19.04.2024 04:00;19.04.2024 05:00;46.812,25;18.894,00
19.04.2024 05:00;19.04.2024 06:00;50.188,50;20.284,00
19.04.2024 06:00;19.04.2024 07:00;55.918,25;24.187,25
19.04.2024 07:00;19.04.2024 08:00;60.346,25;26.435,75
19.04.2024 08:00;19.04.2024 09:00;63.152,50;26.328,00
19.04.2024 09:00;19.04.2024 10:00;64.013,00;23.707,50
19.04.2024 10:00;19.04.2024 11:00;64.381,00;21.369,75
19.04.2024 11:00;19.04.2024 12:00;64.862,00;20.278,50
19.04.2024 12:00;19.04.2024 13:00;64.119,75;18.794,00
19.04.2024 13:00;19.04.2024 14:00;62.489,25;17.316,25
19.04.2024 14:00;19.04.2024 15:00;60.079,75;15.790,50
19.04.2024 15:00;19.04.2024 16:00;58.108,25;15.562,00
19.04.2024 16:00;19.04.2024 17:00;57.139,25;16.825,50
19.04.2024 17:00;19.04.2024 18:00;58.887,50;21.152,75
19.04.2024 18:00;19.04.2024 19:00;59.697,25;24.891,75
19.04.2024 19:00;19.04.2024 20:00;59.383,25;27.328,75
19.04.2024 20:00;19.04.2024 21:00;57.544,75;27.075,75
19.04.2024 21:00;19.04.2024 22:00;55.043,00;25.850,00
19.04.2024 22:00;19.04.2024 23:00;52.081,75;24.033,75
19.04.2024 23:00;20.04.2024 00:00;48.425,50;21.209,75
20.04.2024 00:00;20.04.2024 01:00;44.563,00;14.432,50
20.04.2024 01:00;20.04.2024 02:00;42.476,75;13.733,25
20.04.2024 02:00;20.04.2024 03:00;41.123,25;13.871,50
20.04.2024 03:00;20.04.2024 04:00;41.044,00;15.387,00
20.04.2024 04:00;20.04.2024 05:00;41.440,50;17.238,75
20.04.2024 05:00;20.04.2024 06:00;42.234,75;19.425,75
20.04.2024 06:00;20.04.2024 07:00;43.051,25;21.462,00
20.04.2024 07:00;20.04.2024 08:00;45.619,75;23.956,00
20.04.2024 08:00;20.04.2024 09:00;49.210,75;25.586,25
20.04.2024 09:00;20.04.2024 10:00;52.239,00;25.541,00
20.04.2024 10:00;20.04.2024 11:00;53.739,75;24.205,25
20.04.2024 11:00;20.04.2024 12:00;53.982,75;22.535,50
20.04.2024 12:00;20.04.2024 13:00;53.405,50;20.546,50
20.04.2024 13:00;20.04.2024 14:00;51.668,50;18.503,00
20.04.2024 14:00;20.04.2024 15:00;49.844,00;17.318,75
20.04.2024 15:00;20.04.2024 16:00;48.669,00;18.126,25
20.04.2024 16:00;20.04.2024 17:00;48.352,50;20.851,75
20.04.2024 17:00;20.04.2024 18:00;49.301,75;26.301,00
20.04.2024 18:00;20.04.2024 19:00;50.594,50;33.069,50
20.04.2024 19:00;20.04.2024 20:00;50.587,25;37.209,25
20.04.2024 20:00;20.04.2024 21:00;49.485,50;37.494,50
20.04.2024 21:00;20.04.2024 22:00;48.142,75;36.637,50
20.04.2024 22:00;20.04.2024 23:00;47.039,75;36.336,50
20.04.2024 23:00;21.04.2024 00:00;44.763,75;34.965,25
21.04.2024 00:00;21.04.2024 01:00;41.366,00;31.030,75
21.04.2024 01:00;21.04.2024 02:00;39.291,50;29.523,00
21.04.2024 02:00;21.04.2024 03:00;38.414,00;28.809,50
21.04.2024 03:00;21.04.2024 04:00;37.698,50;28.106,50
21.04.2024 04:00;21.04.2024 05:00;37.415,00;27.513,00
21.04.2024 05:00;21.04.2024 06:00;38.039,50;27.777,00
21.04.2024 06:00;21.04.2024 07:00;38.029,25;26.930,00
21.04.2024 07:00;21.04.2024 08:00;39.838,50;25.729,00
21.04.2024 08:00;21.04.2024 09:00;43.049,00;24.606,50
21.04.2024 09:00;21.04.2024 10:00;46.596,00;22.894,50
21.04.2024 10:00;21.04.2024 11:00;48.768,00;19.719,50
21.04.2024 11:00;21.04.2024 12:00;49.796,75;17.274,75
21.04.2024 12:00;21.04.2024 13:00;49.320,75;14.669,75
21.04.2024 13:00;21.04.2024 14:00;47.005,00;11.715,75
21.04.2024 14:00;21.04.2024 15:00;44.901,50;9.750,50
21.04.2024 15:00;21.04.2024 16:00;43.582,75;10.171,00
